insert into pressure(name,age,teacher,tage,desc) values
('CreaterOS',21,'Painting',19,'Give me some advices'),
('CreaterOS',21,'Painting',19,'Give me some advices'),
('CreaterOS',21,'Painting',19,'Give me some advices'),
('CreaterOS',21,'Painting',19,'Give me some advices'),
('CreaterOS',21,'Painting',19,'Give me some advices'),
('CreaterOS',21,'Painting',19,'Give me some advices'),
('CreaterOS',21,'Painting',19,'Give me some advices'),
('CreaterOS',21,'Painting',19,'Give me some advices'),
('CreaterOS',21,'Painting',19,'Give me some advices'),
('CreaterOS',21,'Painting',19,'Give me some advices'),
('CreaterOS',21,'Painting',19,'Give me some advices'),
('CreaterOS',21,'Painting',19,'Give me some advices'),
('CreaterOS',21,'Painting',19,'Give me some advices'),
('CreaterOS',21,'Painting',19,'Give me some advices'),
('CreaterOS',21,'Painting',19,'Give me some advices'),
('CreaterOS',21,'Painting',19,'Give me some advices'),
('CreaterOS',21,'Painting',19,'Give me some advices'),
('CreaterOS',21,'Painting',19,'Give me some advices'),
('CreaterOS',21,'Painting',19,'Give me some advices'),
('CreaterOS',21,'Painting',19,'Give me some advices'),
('CreaterOS',21,'Painting',19,'Give me some advices'),
('CreaterOS',21,'Painting',19,'Give me some advices'),
('CreaterOS',21,'Painting',19,'Give me some advices'),
('CreaterOS',21,'Painting',19,'Give me some advices'),
('CreaterOS',21,'Painting',19,'Give me some advices'),
('CreaterOS',21,'Painting',19,'Give me some advices'),
('CreaterOS',21,'Painting',19,'Give me some advices'),
('CreaterOS',21,'Painting',19,'Give me some advices'),
('CreaterOS',21,'Painting',19,'Give me some advices'),
('CreaterOS',21,'Painting',19,'Give me some advices'),
('CreaterOS',21,'Painting',19,'Give me some advices'),
('CreaterOS',21,'Painting',19,'Give me some advices'),
('CreaterOS',21,'Painting',19,'Give me some advices'),
('CreaterOS',21,'Painting',19,'Give me some advices'),
('CreaterOS',21,'Painting',19,'Give me some advices'),
('CreaterOS',21,'Painting',19,'Give me some advices'),
('CreaterOS',21,'Painting',19,'Give me some advices'),
